decision_date,0.0%_lead07_forecast_anom,0.0%_lead07_forecast_anom_projected_change,0.0%_lead07_price_calendar,0.0%_lead14_forecast_anom,0.0%_lead14_forecast_anom_projected_change,0.0%_lead14_price_calendar,0.0%_lead21_forecast_anom,0.0%_lead21_forecast_anom_projected_change,0.0%_lead21_price_calendar,0.0%_lead28_forecast_anom,0.0%_lead28_forecast_anom_projected_change,0.0%_lead28_price_calendar,0.0%_lead30_forecast_anom,0.0%_lead30_forecast_anom_projected_change,0.0%_lead30_price_calendar,0.1%_lead07_forecast_anom,0.1%_lead07_forecast_anom_projected_change,0.1%_lead07_price_calendar,0.1%_lead14_forecast_anom,0.1%_lead14_forecast_anom_projected_change,0.1%_lead14_price_calendar,0.1%_lead21_forecast_anom,0.1%_lead21_forecast_anom_projected_change,0.1%_lead21_price_calendar,0.1%_lead28_forecast_anom,0.1%_lead28_forecast_anom_projected_change,0.1%_lead28_price_calendar,0.1%_lead30_forecast_anom,0.1%_lead30_forecast_anom_projected_change,0.1%_lead30_price_calendar,0.2%_lead07_forecast_anom,0.2%_lead07_forecast_anom_projected_change,0.2%_lead07_price_calendar,0.2%_lead14_forecast_anom,0.2%_lead14_forecast_anom_projected_change,0.2%_lead14_price_calendar,0.2%_lead21_forecast_anom,0.2%_lead21_forecast_anom_projected_change,0.2%_lead21_price_calendar,0.2%_lead28_forecast_anom,0.2%_lead28_forecast_anom_projected_change,0.2%_lead28_price_calendar,0.2%_lead30_forecast_anom,0.2%_lead30_forecast_anom_projected_change,0.2%_lead30_price_calendar,0.3%_lead07_forecast_anom,0.3%_lead07_forecast_anom_projected_change,0.3%_lead07_price_calendar,0.3%_lead14_forecast_anom,0.3%_lead14_forecast_anom_projected_change,0.3%_lead14_price_calendar,0.3%_lead21_forecast_anom,0.3%_lead21_forecast_anom_projected_change,0.3%_lead21_price_calendar,0.3%_lead28_forecast_anom,0.3%_lead28_forecast_anom_projected_change,0.3%_lead28_price_calendar,0.3%_lead30_forecast_anom,0.3%_lead30_forecast_anom_projected_change,0.3%_lead30_price_calendar,0.4%_lead07_forecast_anom,0.4%_lead07_forecast_anom_projected_change,0.4%_lead07_price_calendar,0.4%_lead14_forecast_anom,0.4%_lead14_forecast_anom_projected_change,0.4%_lead14_price_calendar,0.4%_lead21_forecast_anom,0.4%_lead21_forecast_anom_projected_change,0.4%_lead21_price_calendar,0.4%_lead28_forecast_anom,0.4%_lead28_forecast_anom_projected_change,0.4%_lead28_price_calendar,0.4%_lead30_forecast_anom,0.4%_lead30_forecast_anom_projected_change,0.4%_lead30_price_calendar,0.5%_lead07_forecast_anom,0.5%_lead07_forecast_anom_projected_change,0.5%_lead07_price_calendar,0.5%_lead14_forecast_anom,0.5%_lead14_forecast_anom_projected_change,0.5%_lead14_price_calendar,0.5%_lead21_forecast_anom,0.5%_lead21_forecast_anom_projected_change,0.5%_lead21_price_calendar,0.5%_lead28_forecast_anom,0.5%_lead28_forecast_anom_projected_change,0.5%_lead28_price_calendar,0.5%_lead30_forecast_anom,0.5%_lead30_forecast_anom_projected_change,0.5%_lead30_price_calendar
2022-01-03,0.0246163216524346,-0.0256163216524346,0.0246163216524346,0.0246163216524346,-0.0256163216524346,0.0246163216524346,0.0246163216524346,-0.0256163216524346,0.0246163216524346,0.0246163216524346,-0.0256163216524346,0.0246163216524346,0.0246163216524346,-0.0256163216524346,0.0246163216524346,0.0246163216524346,0.0,0.0246163216524346,0.0246163216524346,0.0,0.0246163216524346,0.0,0.0,0.0246163216524346,0.0,0.0,0.0246163216524346,0.0246163216524346,0.0,0.0246163216524346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-04,-0.0099819061508356,0.0099819061508356,-0.0099819061508356,-0.0099819061508356,0.0099819061508356,-0.0099819061508356,-0.0099819061508356,0.0099819061508356,-0.0099819061508356,-0.0099819061508356,0.0099819061508356,-0.0099819061508356,-0.0099819061508356,0.0099819061508356,-0.0099819061508356,-0.0005,0.0094819061508356,-0.0099819061508356,-0.0005,0.0094819061508356,-0.0099819061508356,-0.0104819061508356,-0.0,-0.0099819061508356,-0.0,-0.0,-0.0099819061508356,-0.0099819061508356,0.0094819061508356,-0.0099819061508356,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2022-01-05,-0.0042080520533106,-0.0032080520533106,0.0032080520533106,0.0032080520533106,0.0022080520533106,0.0032080520533106,0.0032080520533106,0.0022080520533106,0.0032080520533106,0.0032080520533106,0.0022080520533106,0.0032080520533106,0.0032080520533106,0.0022080520533106,0.0032080520533106,0.0,-0.0032080520533106,0.0032080520533106,0.0027080520533106,-0.0005,0.0032080520533106,0.0032080520533106,0.0,0.0032080520533106,0.0027080520533106,0.0,0.0032080520533106,0.0032080520533106,-0.0005,0.0032080520533106,0.0,-0.0037080520533106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,0.0049388337935135,0.0049388337935135,0.0059388337935135,0.0059388337935135,-0.0069388337935135,0.0059388337935135,0.0059388337935135,-0.0069388337935135,0.0059388337935135,0.0059388337935135,0.0059388337935135,0.0059388337935135,0.0059388337935135,-0.0069388337935135,0.0059388337935135,0.0054388337935135,-0.0005,0.0059388337935135,-0.0005,-0.0064388337935134,0.0059388337935135,0.0059388337935135,0.0,0.0059388337935135,0.0059388337935135,0.0,0.0059388337935135,0.0059388337935135,0.0,0.0059388337935135,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-07,-0.0090826865931756,-0.0090826865931756,-0.0090826865931756,-0.0090826865931756,0.0090826865931756,-0.0090826865931756,-0.0090826865931756,0.0090826865931756,-0.0090826865931756,-0.0090826865931756,0.0080826865931756,-0.0090826865931756,-0.0090826865931756,0.0090826865931756,-0.0090826865931756,-0.0090826865931756,-0.0095826865931756,-0.0090826865931756,-0.0095826865931756,-0.0005,-0.0090826865931756,-0.0090826865931756,-0.0,-0.0090826865931756,-0.0005,-0.0,-0.0090826865931756,-0.0090826865931756,-0.0,-0.0090826865931756,-0.0095826865931756,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2022-01-10,0.0022915281901236,0.0022915281901236,0.0022915281901236,0.0022915281901236,0.0012915281901236,0.0022915281901236,0.0022915281901236,0.0012915281901236,0.0022915281901236,-0.0032915281901236,-0.0022915281901236,0.0022915281901236,0.0022915281901236,0.0012915281901236,0.0022915281901236,0.0022915281901236,0.0022915281901236,-0.0005,-0.0005,0.0,-0.0005,-0.0005,0.0,-0.0005,0.0,0.0,-0.0005,-0.0005,0.0,-0.0005,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-11,-0.001371773456528,-0.001371773456528,-0.001371773456528,-0.001371773456528,-0.001371773456528,-0.001371773456528,-0.001371773456528,-0.001371773456528,-0.001371773456528,-0.002371773456528,-0.002371773456528,-0.001371773456528,-0.001371773456528,-0.001371773456528,-0.001371773456528,-0.001371773456528,-0.001371773456528,-0.001871773456528,-0.001871773456528,-0.001871773456528,-0.001871773456528,-0.001871773456528,-0.001871773456528,-0.001871773456528,-0.001871773456528,-0.001871773456528,-0.001871773456528,-0.001871773456528,-0.001871773456528,-0.001871773456528,-0.001871773456528,-0.001871773456528,-0.001871773456528,-0.001871773456528,-0.001871773456528,-0.001871773456528,-0.001871773456528,-0.001871773456528,-0.001871773456528,-0.001871773456528,-0.001871773456528,-0.001871773456528,-0.001871773456528,-0.001871773456528,-0.001871773456528,-0.001871773456528,-0.001871773456528,-0.0,-0.001871773456528,-0.001871773456528,-0.0,-0.001871773456528,-0.001871773456528,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.001871773456528,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2022-01-12,-0.0146520005763965,-0.0146520005763965,-0.0146520005763965,0.0136520005763965,0.0136520005763965,-0.0146520005763965,-0.0146520005763965,-0.0146520005763965,-0.0146520005763965,-0.0146520005763965,-0.0146520005763965,-0.0146520005763965,-0.0146520005763965,-0.0146520005763965,-0.0146520005763965,-0.0005,-0.0005,-0.0005,0.0136520005763965,-0.0005,-0.0005,-0.0146520005763965,-0.0146520005763965,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0,-0.0005,-0.0005,-0.0,-0.0005,-0.0005,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0005,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2022-01-13,0.0144051793377424,0.0144051793377424,0.0144051793377424,0.0134051793377424,0.0134051793377424,0.0144051793377424,0.0144051793377424,0.0144051793377424,0.0144051793377424,0.0144051793377424,0.0144051793377424,0.0144051793377424,0.0144051793377424,0.0144051793377424,0.0144051793377424,0.0,0.0139051793377424,0.0139051793377424,-0.0005,0.0139051793377424,0.0139051793377424,0.0144051793377424,0.0144051793377424,0.0139051793377424,0.0139051793377424,0.0139051793377424,0.0139051793377424,0.0139051793377424,0.0139051793377424,0.0139051793377424,0.0,0.0,0.0139051793377424,0.0,0.0,0.0139051793377424,0.0139051793377424,0.0139051793377424,0.0139051793377424,0.0139051793377424,0.0139051793377424,0.0139051793377424,0.0139051793377424,0.0139051793377424,0.0139051793377424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0139051793377424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-14,0.0004580956901871,0.0004580956901871,0.0004580956901871,0.0004580956901871,0.0004580956901871,0.0004580956901871,0.0004580956901871,0.0004580956901871,0.0004580956901871,0.0004580956901871,0.0004580956901871,0.0004580956901871,0.0004580956901871,0.0004580956901871,0.0004580956901871,-4.190430981289999e-05,0.0004580956901871,0.0004580956901871,-4.190430981289999e-05,0.0004580956901871,0.0004580956901871,0.0004580956901871,0.0004580956901871,0.0004580956901871,0.0004580956901871,0.0004580956901871,0.0004580956901871,0.0004580956901871,0.0004580956901871,0.0004580956901871,0.0,-4.190430981289999e-05,0.0004580956901871,-4.190430981289999e-05,-4.190430981289999e-05,0.0004580956901871,0.0004580956901871,0.0004580956901871,0.0004580956901871,0.0004580956901871,0.0004580956901871,0.0004580956901871,0.0004580956901871,0.0004580956901871,0.0004580956901871,0.0,0.0,-4.190430981289999e-05,-4.190430981289999e-05,-4.190430981289999e-05,-4.190430981289999e-05,-4.190430981289999e-05,0.0004580956901871,-4.190430981289999e-05,-4.190430981289999e-05,-4.190430981289999e-05,-4.190430981289999e-05,-4.190430981289999e-05,-4.190430981289999e-05,-4.190430981289999e-05,0.0,0.0,-4.190430981289999e-05,0.0,-4.190430981289999e-05,-4.190430981289999e-05,0.0,-4.190430981289999e-05,-4.190430981289999e-05,0.0,-4.190430981289999e-05,-4.190430981289999e-05,-4.190430981289999e-05,-4.190430981289999e-05,-4.190430981289999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.190430981289999e-05,0.0
