task,horizon_weeks,run_id,target,model,feature_set,n_test,n_folds,mae,rmse,r2,direction_accuracy,mean_actual_return,mean_predicted_return,threshold,accuracy,balanced_accuracy_present_classes,macro_f1,n_down,n_flat,n_up,extreme_event_rate,has_both_extreme_classes,confusion_matrix_labels,confusion_matrix,estimator,validation_scheme,train_window_weeks,transaction_cost_bps,buffer_bps,trade_threshold,allow_short,trade_count,trade_frequency,hit_rate_traded_weeks,average_return_traded_weeks,average_predicted_return_traded_weeks,strategy_total_return,benchmark_total_return,strategy_annual_return,strategy_annual_vol,strategy_sharpe,benchmark_sharpe,max_drawdown,mean_position,turnover,high_vol_quantile,spearman_corr,mean_actual_volatility,mean_predicted_volatility,high_vol_accuracy,high_vol_balanced_accuracy,high_vol_rate_actual,high_vol_rate_predicted
direction_classification,1,price_only_return_regression,next_week_log_return,price_only_ridge,price_only,175,14,0.017508297548052082,0.024574113483400415,-0.04491593231994839,0.52,-0.001920054479809364,-0.0011439291870222036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
direction_classification,1,price_only_three_class_fixed,next_week_log_return_3class_2.0%_bands,price_only_logit,price_only,175,14,,,,,,,0.02,0.4685714285714286,0.3190651260504202,0.31424341941583317,32.0,119.0,24.0,0.32,True,"[-1, 0, 1]","[[3, 26, 3], [24, 73, 22], [4, 14, 6]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
direction_classification,1,price_ai_return_regression,next_week_log_return,price_only_ridge,price_ai,175,14,0.01819599262901751,0.025397693246866433,-0.11612845168511865,0.4857142857142857,-0.001920054479809364,-0.0003664383881238413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
direction_classification,1,price_ai_three_class_fixed,next_week_log_return_3class_2.0%_bands,price_only_logit,price_ai,175,14,,,,,,,0.02,0.49714285714285716,0.3261262838468721,0.3256764069264069,32.0,119.0,24.0,0.32,True,"[-1, 0, 1]","[[5, 22, 5], [19, 78, 22], [8, 12, 4]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
direction_classification,1,price_gdelt_return_regression,next_week_log_return,price_only_ridge,price_gdelt,175,14,0.017625839661048623,0.024627187122323674,-0.04943429492546536,0.5257142857142857,-0.001920054479809364,-0.0009369179112477279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
direction_classification,1,price_gdelt_three_class_fixed,next_week_log_return_3class_2.0%_bands,price_only_logit,price_gdelt,175,14,,,,,,,0.02,0.4514285714285714,0.32242063492063494,0.319047619047619,32.0,119.0,24.0,0.32,True,"[-1, 0, 1]","[[6, 22, 4], [28, 68, 23], [4, 15, 5]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
direction_classification,1,price_ai_gdelt_return_regression,next_week_log_return,price_only_ridge,price_ai_gdelt,175,14,0.018235838774708014,0.025438692135335537,-0.11973483909362082,0.52,-0.001920054479809364,-0.0004366229160878423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
direction_classification,1,price_ai_gdelt_three_class_fixed,next_week_log_return_3class_2.0%_bands,price_only_logit,price_ai_gdelt,175,14,,,,,,,0.02,0.46285714285714286,0.32107843137254904,0.3199075699075699,32.0,119.0,24.0,0.32,True,"[-1, 0, 1]","[[8, 20, 4], [24, 70, 25], [10, 11, 3]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
direction_classification,1,price_calendar_return_regression,next_week_log_return,price_only_ridge,price_calendar,175,14,0.01727585377933367,0.024303129800526412,-0.021997997690553106,0.5314285714285715,-0.001920054479809364,-0.001802592710861555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
direction_classification,1,price_calendar_three_class_fixed,next_week_log_return_3class_2.0%_bands,price_only_logit,price_calendar,175,14,,,,,,,0.02,0.4228571428571429,0.3090861344537815,0.3041501238589704,32.0,119.0,24.0,0.32,True,"[-1, 0, 1]","[[9, 16, 7], [44, 62, 13], [9, 12, 3]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
direction_classification,1,price_calendar_ai_return_regression,next_week_log_return,price_only_ridge,price_calendar_ai,175,14,0.018011077816578812,0.025234137868249514,-0.10179951060529069,0.5371428571428571,-0.001920054479809364,-0.0007792251525244993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
direction_classification,1,price_calendar_ai_three_class_fixed,next_week_log_return_3class_2.0%_bands,price_only_logit,price_calendar_ai,175,14,,,,,,,0.02,0.42857142857142855,0.3001283846872082,0.2997084077797294,32.0,119.0,24.0,0.32,True,"[-1, 0, 1]","[[6, 18, 8], [36, 65, 18], [5, 15, 4]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
direction_classification,1,price_calendar_gdelt_return_regression,next_week_log_return,price_only_ridge,price_calendar_gdelt,175,14,0.01737827871020328,0.024276160560616513,-0.019731029088332797,0.5371428571428571,-0.001920054479809364,-0.0014811140212245113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
direction_classification,1,price_calendar_gdelt_three_class_fixed,next_week_log_return_3class_2.0%_bands,price_only_logit,price_calendar_gdelt,175,14,,,,,,,0.02,0.38857142857142857,0.30751050420168063,0.29347030364245824,32.0,119.0,24.0,0.32,True,"[-1, 0, 1]","[[11, 15, 6], [45, 54, 20], [10, 11, 3]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
direction_classification,1,price_calendar_ai_gdelt_return_regression,next_week_log_return,price_only_ridge,price_calendar_ai_gdelt,175,14,0.017899603340792228,0.025256208658960905,-0.1037277097060878,0.5542857142857143,-0.001920054479809364,-0.0005690677712809301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
direction_classification,1,price_calendar_ai_gdelt_three_class_fixed,next_week_log_return_3class_2.0%_bands,price_only_logit,price_calendar_ai_gdelt,175,14,,,,,,,0.02,0.4,0.2978816526610644,0.29122658950245156,32.0,119.0,24.0,0.32,True,"[-1, 0, 1]","[[9, 17, 6], [39, 58, 22], [7, 14, 3]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
expected_return,1,price_ai_gdelt_hgb,next_week_log_return,,price_ai_gdelt,175,14,0.018397598795709135,0.025164452845702186,-0.09572259129907046,0.52,,,,,,,,,,,,,,hgb,expanding,,5.0,25.0,0.003,False,50.0,0.2857142857142857,0.5,0.0006782290328128227,0.008742122919186433,-0.003083783700430276,-0.2853837073443145,-0.0009173190892907135,0.07361911179594201,-0.012466057543149748,-0.5759410574643985,-0.19899634342511086,0.2857142857142857,0.4228571428571429,,,,,,,,
